"TIME","GEO","HHTYP","INDIC_IL","UNIT","Value","Flag and Footnotes"
"2009","European Union - 15 countries (1995-2004)","Single person with dependent children","Median equivalised net income","Euro",":",""
"2009","European Union - 15 countries (1995-2004)","Single person with dependent children","Median equivalised net income","National currency",":",""
"2009","European Union - 15 countries (1995-2004)","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Median equivalised net income","Euro","17,110","e"
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Median equivalised net income","National currency",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Single person","Median equivalised net income","Euro","15,480","e"
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Single person","Median equivalised net income","National currency",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Single person","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Single person with dependent children","Median equivalised net income","Euro","12,832","e"
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Single person with dependent children","Median equivalised net income","National currency",":",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (19 countries)","Total","Median equivalised net income","Euro","16,870",""
"2009","Euro area (19 countries)","Total","Median equivalised net income","National currency",":",""
"2009","Euro area (19 countries)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (19 countries)","Single person","Median equivalised net income","Euro","15,253",""
"2009","Euro area (19 countries)","Single person","Median equivalised net income","National currency",":",""
"2009","Euro area (19 countries)","Single person","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (19 countries)","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Euro area (19 countries)","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Euro area (19 countries)","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (19 countries)","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Euro area (19 countries)","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Euro area (19 countries)","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (19 countries)","Single person with dependent children","Median equivalised net income","Euro","12,591",""
"2009","Euro area (19 countries)","Single person with dependent children","Median equivalised net income","National currency",":",""
"2009","Euro area (19 countries)","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (18 countries)","Total","Median equivalised net income","Euro","16,989",""
"2009","Euro area (18 countries)","Total","Median equivalised net income","National currency",":",""
"2009","Euro area (18 countries)","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (18 countries)","Single person","Median equivalised net income","Euro","15,359",""
"2009","Euro area (18 countries)","Single person","Median equivalised net income","National currency",":",""
"2009","Euro area (18 countries)","Single person","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (18 countries)","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Euro area (18 countries)","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Euro area (18 countries)","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (18 countries)","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Euro area (18 countries)","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Euro area (18 countries)","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Euro area (18 countries)","Single person with dependent children","Median equivalised net income","Euro","12,711",""
"2009","Euro area (18 countries)","Single person with dependent children","Median equivalised net income","National currency",":",""
"2009","Euro area (18 countries)","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Belgium","Total","Median equivalised net income","Euro","19,309",""
"2009","Belgium","Total","Median equivalised net income","National currency","19,309",""
"2009","Belgium","Total","Median equivalised net income","Purchasing power standard (PPS)","17,487",""
"2009","Belgium","Single person","Median equivalised net income","Euro","15,873",""
"2009","Belgium","Single person","Median equivalised net income","National currency","15,873",""
"2009","Belgium","Single person","Median equivalised net income","Purchasing power standard (PPS)","14,375",""
"2009","Belgium","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Belgium","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Belgium","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Belgium","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Belgium","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Belgium","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Belgium","Single person with dependent children","Median equivalised net income","Euro","13,231",""
"2009","Belgium","Single person with dependent children","Median equivalised net income","National currency","13,231",""
"2009","Belgium","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)","11,983",""
"2009","Bulgaria","Total","Median equivalised net income","Euro","2,828",""
"2009","Bulgaria","Total","Median equivalised net income","National currency","5,530",""
"2009","Bulgaria","Total","Median equivalised net income","Purchasing power standard (PPS)","5,751",""
"2009","Bulgaria","Single person","Median equivalised net income","Euro","1,493",""
"2009","Bulgaria","Single person","Median equivalised net income","National currency","2,921",""
"2009","Bulgaria","Single person","Median equivalised net income","Purchasing power standard (PPS)","3,037",""
"2009","Bulgaria","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Bulgaria","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Bulgaria","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Bulgaria","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Bulgaria","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Bulgaria","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Bulgaria","Single person with dependent children","Median equivalised net income","Euro","2,457",""
"2009","Bulgaria","Single person with dependent children","Median equivalised net income","National currency","4,806",""
"2009","Bulgaria","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)","4,998",""
"2009","Czechia","Total","Median equivalised net income","Euro","7,295",""
"2009","Czechia","Total","Median equivalised net income","National currency","181,973",""
"2009","Czechia","Total","Median equivalised net income","Purchasing power standard (PPS)","10,104",""
"2009","Czechia","Single person","Median equivalised net income","Euro","5,319",""
"2009","Czechia","Single person","Median equivalised net income","National currency","132,699",""
"2009","Czechia","Single person","Median equivalised net income","Purchasing power standard (PPS)","7,368",""
"2009","Czechia","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Czechia","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Czechia","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Czechia","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Czechia","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Czechia","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Czechia","Single person with dependent children","Median equivalised net income","Euro","4,851",""
"2009","Czechia","Single person with dependent children","Median equivalised net income","National currency","121,018",""
"2009","Czechia","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)","6,719",""
"2009","Denmark","Total","Median equivalised net income","Euro","25,027",""
"2009","Denmark","Total","Median equivalised net income","National currency","186,604",""
"2009","Denmark","Total","Median equivalised net income","Purchasing power standard (PPS)","17,916",""
"2009","Denmark","Single person","Median equivalised net income","Euro","19,309",""
"2009","Denmark","Single person","Median equivalised net income","National currency","143,966",""
"2009","Denmark","Single person","Median equivalised net income","Purchasing power standard (PPS)","13,822",""
"2009","Denmark","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Denmark","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Denmark","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Denmark","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Denmark","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Denmark","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Denmark","Single person with dependent children","Median equivalised net income","Euro","19,219",""
"2009","Denmark","Single person with dependent children","Median equivalised net income","National currency","143,298",""
"2009","Denmark","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)","13,758",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Median equivalised net income","Euro","18,586",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Median equivalised net income","National currency","18,586",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Median equivalised net income","Purchasing power standard (PPS)","17,954",""
"2009","Germany (until 1990 former territory of the FRG)","Single person","Median equivalised net income","Euro","15,894",""
"2009","Germany (until 1990 former territory of the FRG)","Single person","Median equivalised net income","National currency","15,894",""
"2009","Germany (until 1990 former territory of the FRG)","Single person","Median equivalised net income","Purchasing power standard (PPS)","15,354",""
"2009","Germany (until 1990 former territory of the FRG)","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Germany (until 1990 former territory of the FRG)","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Germany (until 1990 former territory of the FRG)","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Germany (until 1990 former territory of the FRG)","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Germany (until 1990 former territory of the FRG)","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Germany (until 1990 former territory of the FRG)","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Germany (until 1990 former territory of the FRG)","Single person with dependent children","Median equivalised net income","Euro","12,792",""
"2009","Germany (until 1990 former territory of the FRG)","Single person with dependent children","Median equivalised net income","National currency","12,792",""
"2009","Germany (until 1990 former territory of the FRG)","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)","12,357",""
"2009","Estonia","Total","Median equivalised net income","Euro","6,209",""
"2009","Estonia","Total","Median equivalised net income","National currency","6,209",""
"2009","Estonia","Total","Median equivalised net income","Purchasing power standard (PPS)","8,101",""
"2009","Estonia","Single person","Median equivalised net income","Euro","3,761",""
"2009","Estonia","Single person","Median equivalised net income","National currency","3,761",""
"2009","Estonia","Single person","Median equivalised net income","Purchasing power standard (PPS)","4,908",""
"2009","Estonia","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Estonia","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Estonia","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Estonia","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Estonia","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Estonia","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Estonia","Single person with dependent children","Median equivalised net income","Euro","4,355",""
"2009","Estonia","Single person with dependent children","Median equivalised net income","National currency","4,355",""
"2009","Estonia","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)","5,683",""
"2009","Ireland","Total","Median equivalised net income","Euro","22,445",""
"2009","Ireland","Total","Median equivalised net income","National currency","22,445",""
"2009","Ireland","Total","Median equivalised net income","Purchasing power standard (PPS)","17,593",""
"2009","Ireland","Single person","Median equivalised net income","Euro","15,304",""
"2009","Ireland","Single person","Median equivalised net income","National currency","15,304",""
"2009","Ireland","Single person","Median equivalised net income","Purchasing power standard (PPS)","11,995",""
"2009","Ireland","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Ireland","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Ireland","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Ireland","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Ireland","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Ireland","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Ireland","Single person with dependent children","Median equivalised net income","Euro","14,490",""
"2009","Ireland","Single person with dependent children","Median equivalised net income","National currency","14,490",""
"2009","Ireland","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)","11,357",""
"2009","Greece","Total","Median equivalised net income","Euro","11,530",""
"2009","Greece","Total","Median equivalised net income","National currency","11,530",""
"2009","Greece","Total","Median equivalised net income","Purchasing power standard (PPS)","12,663",""
"2009","Greece","Single person","Median equivalised net income","Euro","9,836",""
"2009","Greece","Single person","Median equivalised net income","National currency","9,836",""
"2009","Greece","Single person","Median equivalised net income","Purchasing power standard (PPS)","10,803",""
"2009","Greece","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Greece","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Greece","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Greece","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Greece","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Greece","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Greece","Single person with dependent children","Median equivalised net income","Euro","9,000",""
"2009","Greece","Single person with dependent children","Median equivalised net income","National currency","9,000",""
"2009","Greece","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)","9,885",""
"2009","Spain","Total","Median equivalised net income","Euro","14,795",""
"2009","Spain","Total","Median equivalised net income","National currency","14,795",""
"2009","Spain","Total","Median equivalised net income","Purchasing power standard (PPS)","15,564",""
"2009","Spain","Single person","Median equivalised net income","Euro","12,850",""
"2009","Spain","Single person","Median equivalised net income","National currency","12,850",""
"2009","Spain","Single person","Median equivalised net income","Purchasing power standard (PPS)","13,518",""
"2009","Spain","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Spain","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Spain","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Spain","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Spain","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Spain","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Spain","Single person with dependent children","Median equivalised net income","Euro","9,832",""
"2009","Spain","Single person with dependent children","Median equivalised net income","National currency","9,832",""
"2009","Spain","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)","10,343",""
"2009","France","Total","Median equivalised net income","Euro","19,657",""
"2009","France","Total","Median equivalised net income","National currency","19,657",""
"2009","France","Total","Median equivalised net income","Purchasing power standard (PPS)","17,752",""
"2009","France","Single person","Median equivalised net income","Euro","17,989",""
"2009","France","Single person","Median equivalised net income","National currency","17,989",""
"2009","France","Single person","Median equivalised net income","Purchasing power standard (PPS)","16,246",""
"2009","France","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","France","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","France","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","France","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","France","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","France","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","France","Single person with dependent children","Median equivalised net income","Euro","14,244",""
"2009","France","Single person with dependent children","Median equivalised net income","National currency","14,244",""
"2009","France","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)","12,864",""
"2009","Croatia","Total","Median equivalised net income","Euro",":",""
"2009","Croatia","Total","Median equivalised net income","National currency",":",""
"2009","Croatia","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Croatia","Single person","Median equivalised net income","Euro",":",""
"2009","Croatia","Single person","Median equivalised net income","National currency",":",""
"2009","Croatia","Single person","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Croatia","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Croatia","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Croatia","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Croatia","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Croatia","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Croatia","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Croatia","Single person with dependent children","Median equivalised net income","Euro",":",""
"2009","Croatia","Single person with dependent children","Median equivalised net income","National currency",":",""
"2009","Croatia","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Italy","Total","Median equivalised net income","Euro","15,605",""
"2009","Italy","Total","Median equivalised net income","National currency","15,605",""
"2009","Italy","Total","Median equivalised net income","Purchasing power standard (PPS)","15,233",""
"2009","Italy","Single person","Median equivalised net income","Euro","14,000",""
"2009","Italy","Single person","Median equivalised net income","National currency","14,000",""
"2009","Italy","Single person","Median equivalised net income","Purchasing power standard (PPS)","13,666",""
"2009","Italy","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Italy","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Italy","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Italy","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Italy","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Italy","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Italy","Single person with dependent children","Median equivalised net income","Euro","12,016",""
"2009","Italy","Single person with dependent children","Median equivalised net income","National currency","12,016",""
"2009","Italy","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)","11,729",""
"2009","Cyprus","Total","Median equivalised net income","Euro","16,451",""
"2009","Cyprus","Total","Median equivalised net income","National currency","16,451",""
"2009","Cyprus","Total","Median equivalised net income","Purchasing power standard (PPS)","18,761",""
"2009","Cyprus","Single person","Median equivalised net income","Euro","13,661",""
"2009","Cyprus","Single person","Median equivalised net income","National currency","13,661",""
"2009","Cyprus","Single person","Median equivalised net income","Purchasing power standard (PPS)","15,579",""
"2009","Cyprus","One adult younger than 64 years","Median equivalised net income","Euro",":",""
"2009","Cyprus","One adult younger than 64 years","Median equivalised net income","National currency",":",""
"2009","Cyprus","One adult younger than 64 years","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Cyprus","One adult 65 years or over","Median equivalised net income","Euro",":",""
"2009","Cyprus","One adult 65 years or over","Median equivalised net income","National currency",":",""
"2009","Cyprus","One adult 65 years or over","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2009","Cyprus","Single person with dependent children","Median equivalised net income","Euro","11,396",""
"2009","Cyprus","Single person with dependent children","Median equivalised net income","National currency","11,396",""
"2009","Cyprus","Single person with dependent children","Median equivalised net income","Purchasing power standard (PPS)","12,996",""
"2009","Latvia","Total","Median equivalised net income","Euro","5,355",""
"2009","Latvia","Total","Median equivalised net income","National currency","5,355",""
"2009","Latvia","Total","Median equivalised net income","Purchasing power standard (PPS)","7,132",""
