Country,Name,"Year Passed",Executive/Legislative,Framework,Categories,"Document Type"
Finland,"Act on the Supervision of the electricity and gas market (590/2013)",2013,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
Sweden,"Amendment to Act Concerning Energy Tax (a component of the climate and energy package) within the 2013 National Budget Bill",2013,Legislative,,"Carbon Pricing; Energy Demand; Transportation",Law
France,"Climate Plan (Policy framework)",2013,Executive,,"Adaptation; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Plan
Switzerland,"CO2 Act (Act 641.71, fully revised version)",2013,Legislative,Mitigation,"Adaptation; Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Law
Liechtenstein,"CO2 Emissions Reduction Ordinance",2013,Executive,No,"Carbon Pricing; Energy Demand; Energy Supply",Decree/order/ordinance
"European Union","Common Agricultural Policy 2014-2020 (Regulations no 1307/2013, no 1308/2013, no 1305/2013, no 1306/2013)",2013,Legislative,No,"Institutions / Administrative arrangements; REDD+ and LULUCF","EU regulation"
"European Union","Decision No 1386/2013/EU on a General Union Environment Action Programme to 2020 ‘Living well, within the limits of our planet’",2013,Legislative,No,"Adaptation; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation","EU decision"
Uzbekistan,"Decree no UP-4512  About measures for further development of alternative energy sources",2013,Executive,,"Energy Supply",Decree/order/ordinance
Russia,"Decree No. 449 on the Mechanism for the Promotion of Renewable Energy on the Wholesale Electricity and Market",2013,Executive,,"Energy Supply",Decree/order/ordinance
Russia,"Decree No. 449 on the Mechanism for the Promotion of Renewable Energy on the Wholesale Electricity and Market",2013,Executive,,"Carbon Pricing; Energy Supply",Law
Slovakia,"Decree of the Ministry of Environment No. 231/2013 Coll. on the National Emissions Inventory System and on technical-operational parameters",2013,Executive,,"Institutions / Administrative arrangements",Decree/order/ordinance
Turkey,"Electricity Market Law (No. 6446) introducing tax deductions for renewables",2013,Legislative,,"Energy Supply",Law
Ukraine,"Energy Strategy to 2030, approved by Decree No. 1071-p and to 2035  approved by Decree no. 605-p",2013,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development",Decree/order/ordinance
Ireland,"Finance Act 1992 – as amended by Finance Act (No. 1) of 2013",2013,Legislative,,"Energy Demand; Transportation",Law
Switzerland,"Forest Policy 2020",2013,Executive,,"Adaptation; REDD+ and LULUCF",Policy
Romania,"Government Urgency Ordinance regarding the tax on polluting emissions from motor vehicles, 9/2013",2013,Legislative,,"Carbon Pricing; Energy Demand; Institutions / Administrative arrangements; Transportation",Law
Russia,"Greenhouse Gas Emission Reduction (Presidential Decree 752)",2013,Executive,,"Institutions / Administrative arrangements",Decree/order/ordinance
Slovakia,"Introduction of smart meters and distribution networks, Decree of the Ministry of agriculture No. 358/2013 Coll.",2013,Executive,,"Energy Demand; Energy Supply",Decree/order/ordinance
"European Union","Land Use, Land Use Change and Forestry (LULUCF) (Decision No. 529/2013/EU on accounting rules on GHG emissions and removals resulting from activities relating to LULUCF and on information concerning actions relating to those activities)",2013,Legislative,No,"Institutions / Administrative arrangements; REDD+ and LULUCF","EU decision"
Albania,"Law 138/2013 on renewable sources of energy",2013,Legislative,No,"Energy Supply",Law
Spain,"Law 2/2013 on the protection and sustainable use of coastal areas",2013,Legislative,,"Adaptation; Institutions / Administrative arrangements",Law
Spain,"Law 24/2013 on the Electric sector",2013,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Transportation",Law
Spain,"Law 8/2013 on urban rehabilitation, regeneration and renovation",2013,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
Andorra,"Law N. 21 on energy efficiency in buildings and promotion of the use of renewable energies",2013,Legislative,,"Energy Demand; Energy Supply",Law
"San Marino","Law no 71 on support to economic development",2013,Legislative,,"Energy Demand; Energy Supply; Transportation",Law
Cyprus,"Law No. 112(?)/2013 on the promotion and encouragement of the use of renewable energy sources",2013,Legislative,,"Energy Demand; Institutions / Administrative arrangements",Law
Serbia,"Law on Efficient Use of Energy",2013,Legislative,No,"Energy Demand; Energy Supply",Law
Romania,"Law on industrial emissions 278/2013",2013,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Croatia,"Law on the promotion of clean and energy efficient vehicles on roads",2013,Legislative,,Transportation,Law
Liechtenstein,"Law on the Reduction of CO2 Emissions",2013,Legislative,Mitigation,"Carbon Pricing; Energy Demand; Energy Supply",Law
"United Kingdom","National Adaptation Programme (last version covering 2018-2023)",2013,Executive,Adaptation,Adaptation,Programme
Netherlands,"National Climate Agenda: Resilient, Prosperous and Green",2013,Executive,"Mitigation and adaptation","Adaptation; Carbon Pricing; Energy Demand; Energy Supply; Research and development; Transportation",Policy
Italy,"National Energy Strategy (Interministerial Decree of 8 March 2013)",2013,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development",Decree/order/ordinance
Azerbaijan,"National Forest Program",2013,Executive,No,"REDD+ and LULUCF",Programme
Belarus,"National Programme on climate change mitigation measures for 2013-2020 (Resolution of the Council of Ministers of the Republic of Belarus No. 510)",2013,Executive,Mitigation,"Adaptation; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF",Programme
Serbia,"National Renewable Energy Action Plan",2013,Legislative,,"Energy Demand; Energy Supply",Law
Bulgaria,"National Strategy for Development of the Forestry Sector in the Republic of Bulgaria for the period 2013 – 2020",2013,Executive,,"REDD+ and LULUCF",Strategy
Kyrgyzstan,"National Sustainable Development Strategy for the Kyrgyz Republic",2013,Executive,No,"Energy Demand; Energy Supply",Strategy
Switzerland,"Ordinance for the Reduction of CO2 Emissions (CO2 Ordinance), SR 641.711",2013,Executive,,"Adaptation; Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Policy
Poland,"Polish National Strategy for Adaptation to climate Change (SAP 2020)",2013,Executive,Adaptation,"Adaptation; Institutions / Administrative arrangements; Research and development",Strategy
"European Union","Regulation (EU) No 1293/2013 on the establishment of a Programme for the Environment and Climate Action (LIFE) and repealing Regulation (EC) No 614/2007",2013,Legislative,No,"Adaptation; Energy Demand; Energy Supply; REDD+ and LULUCF","EU regulation"
Iceland,"Regulation no. 70/2013; amended by no. 823/2013 (Regulation of Emissions Permits for Operators working in the EU Emission Trading System)",2013,Executive,No,"Carbon Pricing",Regulation/rules
Croatia,"Regulation on the adoption of the Plan for the air protection, protection of the ozone layer and climate change mitigation in the Republic of Croatia for the period 2013-2017",2013,Executive,No,"Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Plan
Portugal,"Resolution of Council of Ministers 20/2013 establishing the National Action Plan for Energy Efficiency (PNAEE 2016) and the National Action Plan for Renewable Energy (PNAER 2020)",2013,Executive,No,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Plan
Uzbekistan,"Resolution of the Cabinet of Ministers No. 142 Action Plan of the Republic of Uzbekistan for Environmental Protection for the years 2013-2017",2013,Executive,,"Research and development",Plan
Spain,"Royal Decree 233/2013, on energy saving of rental housing, building restoration and urban regeneration and renovation",2013,Executive,,"Energy Demand",Decree/order/ordinance
Spain,"Royal Decree 238/2013, incorporates the regulation on thermal installations in buildings",2013,Executive,,"Energy Demand",Decree/order/ordinance
Spain,"Royal Decree 635/2013, developing the “Plan to Promote the Environment in the hotel sector PIMA SOL\ for the energy renovation of its installations, and regulating the further acquisition of carbon credits by the Carbon Fund for a sustainable economy",2013,Executive,,"Carbon Pricing; Energy Demand; Institutions / Administrative arrangements",Decree/order/ordinance
Spain,"Royal Decree Law 2/2013, which implements urgent measures in the electricity and financial sectors",2013,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Decree/order/ordinance
Denmark,"The Danish Climate Policy Plan",2013,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Transportation",Plan
Romania,"The National Climate Change Strategy (2013-2020)",2013,Executive,"Mitigation and adaptation","Adaptation; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF",Resolution
Italy,"Thermal account, incentive schemes set up by Ministerial Decree No 12/2012",2013,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Decree/order/ordinance
Norway,"White Paper on Climate Change Adaptation, Meld St. 33 (2012-2013)",2013,Executive,Adaptation,Adaptation,Policy
Iceland,"2012 Act no. 70 on Climate Change",2012,Legislative,"Mitigation and adaptation","Adaptation; Carbon Pricing; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development",Law
Andorra,"24-10-2012 decree approving the conditions of purchase of electricity generated by photovoltaic installations",2012,Executive,,"Energy Supply",Decree/order/ordinance
"Czech Republic","Act No. 165/2012 Coll. on supported energy sources and on amendment to some laws",2012,Legislative,,"Energy Supply",Law
Slovakia,"Act No. 250/2012 on regulation of network industries as amended",2012,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Slovakia,"Act No. 251/2012 Coll. on Energy and on change of certain acts",2012,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Slovakia,"Act No. 314/2012 Coll. on regular inspection of heating systems and air conditioning systems",2012,Legislative,,"Energy Demand",Law
Slovakia,"Act No. 373/2012 Coll. on emergency stocks of oil and oil products and amending the Act on the promotion of renewable energy sources and high efficiency cogeneration",2012,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Slovakia,"Act No. 414/2012 Coll. on Emission Trading",2012,Legislative,,"Carbon Pricing; Institutions / Administrative arrangements",Law
Denmark,"Action Plan for a climate-proof Denmark",2012,Executive,Adaptation,"Adaptation; Institutions / Administrative arrangements; Research and development",Plan
Switzerland,"Adaptation to Climate Change in Switzerland: Goals, Challenges and Fields of Action (UD-1055-E) (Swiss National Adaptation Strategy: Part I) and Adaptation to Climate Change in Switzerland: Plan of Action 2014-2019 (1081-F) (Swiss National Adaptation Strategy: Part II)",2012,Executive,Adaptation,"Adaptation; Institutions / Administrative arrangements; Research and development",Plan
Germany,"Carbon Capture and Storage Act (KSpG)",2012,Legislative,,"Energy Supply",Law
Luxembourg,"Climate Pact with the Municipalities",2012,Legislative,,"Institutions / Administrative arrangements",Law
Norway,"Climate Settlement, Innst. 390 S (2011–2012)",2012,Executive,Mitigation,"Energy Demand; Energy Supply; REDD+ and LULUCF; Transportation",Policy
Andorra,"Decree creating the Office of Energy",2012,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Decree/order/ordinance
Portugal,"Decree-Law 56/2012 on the Portuguese Environment Agency (APA I.P)",2012,Executive,,"Institutions / Administrative arrangements","Decree law"
Netherlands,"Delta Act on Water Safety and Fresh Water Supply (Delta Act)",2012,Legislative,,"Adaptation; Institutions / Administrative arrangements",Law
Liechtenstein,"Emissions Trading Act",2012,Legislative,No,"Carbon Pricing",Law
Ireland,"Energy (Miscellaneous Provisions) Act 2012, Number 3 of 2012",2012,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
Croatia,"Energy Act",2012,Legislative,No,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
